,職稱,更新日期,薪資待遇,公司名稱,工作性質,公司地址
0,Python Engineer Python工程師 ,11/16,"年薪940,000~1,700,000元",OpenNet_開網有限公司,全職,台北市中正區杭州南路一段15-1號16F
1,Python Data Scientist ,11/14,待遇面議,BigGo_樂方股份有限公司,全職,高雄市鼓山區中華一路828號13樓
2,Python 工程師 ,11/17,"月薪55,000元以上",加拿大商百德寶企業有限公司在臺辦事處,全職,嘉義市東區興美六路150號4樓之1
3,Python程式設計 ,11/13,待遇面議,伊普資訊股份有限公司,全職,台北市信義區
4,Python Engineer ,11/17,待遇面議,康翔科技股份有限公司,全職,台北市內湖區
5,Python資深後端工程師 ,11/17,"月薪60,000~90,000元",華翰物產實業股份有限公司,全職,台北市中山區樂群三路126號
6,Python工程師 ,11/15,待遇面議,創昇資訊有限公司,全職,台北市松山區復興南路一段
7,Python工程師/後端工程師 ,10/20,待遇面議,春水堂科技娛樂股份有限公司,全職,台北市內湖區洲子街106號10樓
8,Python 工程師 ,11/16,待遇面議,岳鼎股份有限公司,全職,台北市內湖區舊宗路2段113號3樓
9,Python影像辨識工程師 ,11/14,待遇面議,黑鏡科技股份有限公司,全職,台中市西屯區福科路620巷18弄11號
10,P7-Python資料工程師 ,11/16,"月薪35,000~45,000元",意藍資訊股份有限公司,全職,台北市大安區信義路四段184號6樓
11,Python爬蟲程式 - 待役、在學工讀生 ,11/06,"月薪38,000~45,000元",帕奇巨科技股份有限公司,兼職 - 長期工讀、短期工讀,新竹縣竹北市光明三路59號5樓
12,Python工程師(IoT物聯網應用) ,10/30,"年薪700,000~1,500,000元",學力創意科技股份有限公司,全職,台北市大安區信義路四段55號2樓之1
13,Python Engineer ,11/17,待遇面議,財報雲數位科技股份有限公司,全職,台北市中山區吉林路24號5樓之3
14,Fullstack Web Developer (Python) ,11/14,待遇面議,美商浪橋科技股份有限公司_Splashtop Inc.,全職,台北市松山區南京東路4段16號4樓A1
15,Python資料工程師 (TCD22) ,11/16,待遇面議,資拓宏宇國際股份有限公司,全職,台北市大安區
16,Python 軟體工程師 ,11/16,待遇面議,華威數位財金科技股份有限公司,全職,台北市內湖區台北市
17,Python工程師(FE) ,11/16,待遇面議,德義資訊股份有限公司,全職,台北市內湖區
18,Python 數據工程師 ,11/15,待遇面議,偉盛資訊股份有限公司,全職,台北市內湖區
19,Python工程師 ,11/16,待遇面議,米約科技有限公司,全職,台北市中山區建國北路二段1號
20,Python 後端工程師 ,11/06,"月薪60,000~100,000元",凸版蓋特資訊股份有限公司,全職,台北市中正區寧波東街1號6樓
21,Python工程師 ,11/14,"月薪35,000~65,000元",BigGo_樂方股份有限公司,全職,高雄市鼓山區中華一路828號13樓
22,SRE運維工程師(Python) ,11/14,待遇面議,中國信託資融股份有限公司,全職,台北市南港區經貿二路195號13樓
23,Python Engineer - MAAS Hardware Lab ,10/20,"年薪1,500,000元以上",Canonical_英商科能有限公司台灣分公司,全職,台北市松山區
24,[QA] 測試部門 - Python自動化測試程式(RPA) - 待役、在學工讀生 ,11/06,"月薪38,000~45,000元",帕奇巨科技股份有限公司,兼職 - 長期工讀、短期工讀、暑假工讀,新竹縣竹北市光明三路59號5樓
25,Python 工程師 ,11/15,待遇面議,明潤電腦有限公司,全職,台中市西屯區台灣大道二段633號
26,Python 後端工程師 ,11/13,待遇面議,光禾感知科技股份有限公司,全職,台北市大安區忠孝東路4段325號8樓
27,Python後端工程師 ,11/17,"月薪40,000~60,000元",深思設計有限公司,全職,台中市西屯區
28,Python工程師(MongoDB) - 金融Fintech專案 ,11/17,待遇面議,一騰資訊服務股份有限公司,全職,台北市信義區
29,Go/Python後端研發工程師 ,11/13,"年薪1,500,000~2,500,000元",幣錸有限公司,全職,台北市大安區光復南路438號
30,Data Engineer | Python爬蟲工程師 ,11/13,"月薪40,000~70,000元",瑪樂愛迪科技股份有限公司,全職,台北市信義區信義路四段415號8樓之4
31,ML Python工程師(FJ) ,11/15,待遇面議,德義資訊股份有限公司,全職,台北市松山區
32,Jr. Python/Django 後端工程師 ,11/14,"年薪700,000~900,000元",矽羽科技有限公司,全職,台北市大安區復興南路一段249號10樓
33,Python研發工程師 ,11/14,待遇面議,聖璟科技有限公司,全職,高雄市新興區中正三路
34,Python工程師－數據整合 ,11/17,待遇面議,雄獅資訊科技股份有限公司,全職,台北市內湖區石潭路151號
35,Fullstack Software Development Manager (Python) ,11/14,待遇面議,美商浪橋科技股份有限公司_Splashtop Inc.,全職,台北市松山區南京東路4段16號4樓A1
36,Python 後端工程師 Backend Engineer ,11/15,待遇面議,紅樓創新技術股份有限公司,全職,台北市中山區民生東路三段128號14樓
37,Python 後端工程師(全遠端工作/週休2.5日) ,11/14,"年薪730,000~1,020,000元",環球誠信有限公司,全職,高雄市鼓山區明華路315號13樓之1
38,Smart Device Python Automation QA Tester (工作地點：新店) ,11/15,待遇面議,印度商威普羅股份有限公司台灣分公司,全職,新北市新店區新店大坪林站附近
39,Python工程師 ( 可立即上班 ) ,11/13,待遇面議,歐立威科技股份有限公司,全職,台北市大同區鄭州路87號11樓之1
40,Python資料分析 ,11/13,待遇面議,伊普資訊股份有限公司,全職,台北市信義區
41,【開發部】資深全端工程師(Python) ,11/16,"年薪1,000,000~1,150,000元",唄粉智能科技股份有限公司,全職,台北市內湖區瑞光路335號
42,Python 後端工程師 ,11/06,待遇面議,聯禦科技有限公司,全職,台北市內湖區
43,"技術支援類: PDK Solutions Engineer (熟悉Script:Python, Perl,TCL尤佳) ",11/14,待遇面議,"Synopsys Taiwan Co., Ltd._台灣新思科技股份有限公司",全職,新竹市
44,Software Engineer_Backend Engineer(Python) 後端工程師 ,11/14,"年薪1,000,000~2,000,000元",百睿達有限公司,全職,台北市中正區許昌街42號10樓
45,Python工程師 - 自動化、爬蟲、自動測試 ,11/06,"年薪500,000~600,000元",帕奇巨科技股份有限公司,全職,新竹縣竹北市光明三路59號5樓
46,Python / Django 工程師 (Junior) ,11/13,待遇面議,合流科技股份有限公司,全職,台北市中正區忠孝東路一段152號3樓
47,Data Engineer | Python爬蟲工程師 ,11/17,"月薪39,998~70,000元",新據點廣告事業股份有限公司,全職,台北市信義區信義路4段415號14樓
48,Python 軟體工程師 ,11/16,"月薪40,000~60,000元",烏龜移動科技股份有限公司,全職,台北市松山區民權東路三段144號13樓1521室
49,後端工程師 Python ,11/17,"月薪43,000~51,000元",財團法人臺灣海洋保育與漁業永續基金會,全職,台北市中正區詔安街284號
50,Python工程師(FC) ,11/13,待遇面議,德義資訊股份有限公司,全職,台北市內湖區
51,Python Software Engineer ,11/17,待遇面議,寶晶能源股份有限公司,全職,台北市內湖區行善路463號8樓
52,資深後端工程師 (Python） ,10/27,"年薪1,200,000元以上",譯碼資訊有限公司,全職,台北市大安區金山北路1號5樓之6
53,QA Engineer(Python Selenuim) ,11/13,待遇面議,盛威資訊服務股份有限公司,全職,台北市大安區
54,Python工程師－數據平台 ,11/17,待遇面議,雄獅資訊科技股份有限公司,全職,台北市內湖區石潭路151號
55,教育產業_Python-AI課程授課講師 ,11/13,"時薪800~2,000元",大數智能教育股份有限公司,兼職,台北市大安區忠孝東路4段73之5號6樓
56,後端工程師(Django/Python) ,11/14,待遇面議,台普威能源股份有限公司,全職,台北市內湖區基湖路1號6樓
57,程式設計師（應用工程師）Python Programmer – Engineering applications ,11/17,"月薪80,000~120,000元",西睿康安全工程顧問有限公司,全職,台北市松山區南京東路5段108號13樓
58,【iKala Cloud】資深軟體工程師 (Python) Senior Software Engineer (Python) ,11/17,待遇面議,愛卡拉互動媒體股份有限公司,全職,台北市信義區東興路41號10樓
59,Automation Test Tools Developer-Python (地點: 新店/板橋/南港) ,11/15,待遇面議,印度商威普羅股份有限公司台灣分公司,全職,新北市板橋區/南港
60,好好證券-後端工程師 Backend Engineer (熟 Python、RESTful API ) ,11/17,待遇面議,好好證券股份有限公司,全職,新北市板橋區
61,Python軟體工程師 (Acoustics)(派駐海外) ,11/14,待遇面議,鴻海集團_英屬開曼群島商鴻騰精密科技股份有限公司台灣分公司,全職,新北市土城區自由街2號
62,"軟體工程師(Python,PHP) ",11/10,待遇面議,承展國際股份有限公司,全職,台北市松山區敦化南路1段2號12樓
63,[高雄] 中階/資深後端工程師 Mid/Senior Backend Engineer (Python/Django) ,11/17,"月薪50,000~150,000元","Linker Vision Co., Ltd._鑫蘊林科股份有限公司",全職,高雄市前鎮區高雄軟體園區
64,【GenApe】Web後端工程師 Back-End Engineer（Python） ,11/14,"月薪42,000~55,000元",玩構網路科技有限公司,全職,高雄市楠梓區
65,python工程師 ,11/15,待遇面議,億力資訊股份有限公司,全職,台北市松山區
66,Python後端工程師(台中總部) ,11/02,"月薪30,000~50,000元",誠雲科技股份有限公司,全職,台中市西屯區台灣大道四段925號16F-3
67,亞太IT服務龍頭 Python Developer ,11/15,"月薪70,000元以上",艾福提資訊有限公司,全職,台北市信義區基隆路2段149之49號9樓之4
68,網站開發全端工程師 (Python) ,11/15,待遇面議,台灣智園有限公司,全職,新北市永和區保生路1號4樓之3
69,【海外派駐】智能製造IOT後端工程師(Python) ,11/14,待遇面議,台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,全職,其他亞洲
70,[台北] 中階後端工程師 Mid Backend Engineer (Python/Django) ,11/17,"月薪50,000~150,000元","Linker Vision Co., Ltd._鑫蘊林科股份有限公司",全職,台北市大安區忠孝東路三段136號9樓之5
71,【線上-兒童程式】Python 講師 ,11/16,時薪350~700元,巨匠雲科技教育股份有限公司,兼職 - 長期工讀,台北市中山區中山北路三段27號14樓
72,Python服務端工程師 ,11/13,待遇面議,帆達科技有限公司,全職,台北市信義區松高路
73,【2023新鮮人專區】Application Engineer/ Solution Engineer熟悉Python/tcl等script) ,09/04,待遇面議,"Synopsys Taiwan Co., Ltd._台灣新思科技股份有限公司",全職,新竹市
74,Python Software Engineer/軟體工程師 ,11/15,"月薪70,000元以上",香港商香港球鞋團隊有限公司,全職,台北市中正區忠孝東路二段26號2樓
75,Python後端工程師 ,11/15,待遇面議,阿爾發證券投資顧問股份有限公司,全職,台北市中正區羅斯福路二段102號8樓之1
76,AI軟體工程師 (Python) ,11/15,"月薪40,000元以上",快譯通股份有限公司,全職,台北市內湖區瑞光路316巷3號1樓
77,【工讀】Python人員 ,11/16,時薪176元,鈊象電子股份有限公司,兼職 - 長期工讀、短期工讀,新北市五股區五工路130號
78,Python 工程師 ,11/17,待遇面議,台盈資訊科技有限公司,全職,台北市松山區敦化北路170號5樓C室
79,Python程式設計師 ,11/15,"月薪40,000~70,000元",綠界科技股份有限公司,全職,台北市南港區三重路19-2號6樓之2
80,資深Python工程師(RD) ,11/16,"月薪60,000~90,000元",滙訊科技有限公司,全職,台北市松山區
81,Python工程師 ,11/13,待遇面議,皓博科技股份有限公司,全職,台北市信義區忠孝東路五段508號20樓-3
82,Python服務端研發工程師 ,11/16,"月薪70,000~120,000元",禾向數位科技有限公司,全職,台北市松山區
83,"軟體工程師(Python ,GCC) ",11/10,待遇面議,中華電信關係企業_中華碩銓科技股份有限公司,全職,新北市泰山區
84,Python後端工程師 ,11/15,"月薪50,000元以上",沙漠魚科技股份有限公司,全職,台北市大安區敦化南路二段99號3樓
85,後端工程師 Junior Backend Engineer(Python) ,11/13,待遇面議,寰享科技有限公司,全職,台中市西屯區(台中市、台北市依照公司規定分派)
86,資深Python工程師(IoT物聯網應用) ,10/30,"年薪900,000~1,500,000元",學力創意科技股份有限公司,全職,台北市大安區信義路四段55號2樓之1
87,後端工程師(Python) ,11/17,待遇面議,詩嫚特集團_斯曼特企業股份有限公司,全職,台北市松山區民權東路3段178號15樓
88,Python軟體工程師_(R3) ,11/16,"月薪30,000~60,000元",鈊象電子股份有限公司,全職,新北市五股區五工路130號
89,研發中心-工程師（C++/C#/Python軟體開發） ,11/16,"月薪35,000~70,000元",凱衛資訊股份有限公司,全職,台北市松山區光復北路11巷29號2樓
90,Python 進階後端工程師 ,11/16,"月薪40,000~50,000元",杰倫智能科技股份有限公司,全職,台北市信義區基隆路一段111號3樓
91,python工程師 ,11/14,"月薪45,000~70,000元",騰芯數位有限公司,全職,台北市中山區松江路129號11樓
92,python工程師 ,11/15,待遇面議,兆徠科技股份有限公司,全職,台北市內湖區行愛路77巷69號2樓
93,【雲端系統部】Python工程師 (中和) ,11/17,待遇面議,昇銳電子股份有限公司,全職,新北市中和區板南路663號4樓
94,"軟體工程師(C#, C++, Python) ",11/12,"月薪40,000~60,000元",健研科技有限公司,全職,桃園市蘆竹區長興路四段39巷2號
95,[RD] Python工程師 Python Engineer / 線上面談 ,11/13,"月薪40,000~120,000元",凱文科技服務有限公司,全職,台北市中山區建國北路二段135號
96,Python programmer/data scientist for quantitative trading ,11/13,待遇面議,中塑油品股份有限公司,全職,台北市內湖區港墘路200號5樓
97,Python爬蟲工程師 ,11/15,待遇面議,中國石油化學工業開發股份有限公司,全職,台北市松山區東興路12號
98,Python工程師－數據服務 ,11/13,待遇面議,雄獅資訊科技股份有限公司,全職,台北市內湖區石潭路151號
99,python後端工程師 ,11/15,"月薪50,000~75,000元",鑫鼎鑽科技有限公司,全職,台北市南港區三重路19-5號
100,資深Python工程師 ,11/15,待遇面議,博凡星國際有限公司,全職,台中市西屯區潮洋里市政北二路238號15樓之1
101,python django 後端工程師 ,11/13,待遇面議,元宏創新服務股份有限公司,全職,新北市新店區北新路一段89號2樓之1
102,Python / Django 開發工程師 (2年以上)【股感媒體科技】 ,11/14,待遇面議,股感資訊股份有限公司,全職,台北市松山區民生東路三段135號3樓
103,Python資料分析工程師 - 金融Fintech專案 ,11/16,待遇面議,一騰資訊服務股份有限公司,全職,台北市大安區
104,資深Python 後端工程師(全遠端工作/週休2.5日) ,11/14,"年薪900,000~1,250,000元",環球誠信有限公司,全職,高雄市鼓山區明華路315號13樓之1
105,TV/STB Test Engineer- Python Developer （工作地點：桃園市） ,11/15,待遇面議,印度商威普羅股份有限公司台灣分公司,全職,桃園市桃園區
106,Data Engineer / 資料工程師(Python) ,11/16,待遇面議,馬來西亞商極限電腦科技有限公司台灣分公司,全職,台中市西屯區文心路二段201號
107,資深Python工程師 ,11/16,待遇面議,米約科技有限公司,全職,台北市中山區建國北路二段1號
108,【資訊部】Python工程師 ,11/15,"月薪35,000~45,000元",台灣知識庫股份有限公司,全職,台北市中正區博愛路60號
109,PYTHON DEVELOPER 後端工程師 ,07/25,待遇面議,美商網碩科技股份有限公司台灣分公司,全職,台北市松山區敦化北路214號5樓
110,後端工程師 Python Engineer ,11/16,"月薪50,000~120,000元",全富數位有限公司,全職,台中市北區崇德路一段631號11樓之1
111,【雲端系統部】Python工程師 ,11/17,待遇面議,昇銳電子股份有限公司,全職,桃園市八德區長興路673號
112,Python自動化測試工程師 ,11/13,待遇面議,云智資訊股份有限公司,全職,台北市信義區台北市(依照公司規定分派)
113,Python 資深後端工程師 / Senior Backend Engineer (可遠端 WFH) ,06/06,"月薪60,000~150,000元",木刻思股份有限公司,全職,台北市大同區太原路115巷25號5樓
114,Python 軟體工程師 ,11/13,"月薪34,000~84,000元",阜爾集團(股票代碼6914)_阜爾運通股份有限公司,全職,新北市中和區中山路二段362-2號8樓
115,Python Backend Engineer(無經驗可) ,11/13,待遇面議,康翔科技股份有限公司,全職,台北市大安區
116,Python / Django 開發工程師 (1 年以上)【聯想感】 ,11/15,"月薪60,000~80,000元",股感資訊股份有限公司,全職,台北市松山區民生東路三段135號3樓
117,Python 軟體工程師 ,11/07,待遇面議,騰達電子有限公司,全職,台北市內湖區瑞光路219號1樓
118,視覺事業處_AI工程師(Python)_(VBU) ,11/15,待遇面議,所羅門股份有限公司,全職,台北市內湖區行忠路42號7樓(114)
119,T-【2023軟體技術人才招募】Python 工程師_人才招募 ,11/15,待遇面議,緯創軟體股份有限公司,全職,新北市汐止區新竹或台北
120,AI工程師(NLP Engineer) ,11/16,待遇面議,康統醫學科技股份有限公司,全職,台北市中正區北平東路16號8樓
121,【IT】系統開發工程師 (新竹)(新竹科學園區)/(台北)(台北內湖科學園區) ,10/30,"月薪40,000~45,000元",智聯服務股份有限公司,全職,新竹市新竹科學園區
122,【台灣愛淨 AI人工智慧空調節能】智慧建築python IOT工程師(台北辦公室) ,11/15,待遇面議,台灣愛淨節能科技有限公司,全職,台北市大安區信義路二段230號4號之1
123,(後台系統開發)python軟體工程師 ,11/02,待遇面議,紅石資訊有限公司,全職,台北市大安區市民大道三段206號6樓
124,【資訊】Backend 後端開發工程師 ( Python / Java / C# .NET) ,11/14,待遇面議,將來商業銀行股份有限公司,全職,台北市大安區敦化南路二段95號
125,Python 後端工程師 Backend Engineer - Python ,11/13,待遇面議,普匯金融科技股份有限公司,全職,台北市中山區松江路111號11樓之1
126,"[IOT] 軟體 工程師 (Java, Python, LabVIEW) - 台北或新竹 ",11/14,待遇面議,動力安全資訊股份有限公司,全職,台北市內湖區
127,Python 系統開發工程師(FJ) ,11/11,待遇面議,德義資訊股份有限公司,全職,台北市松山區
128,人工智慧工程師 ,11/11,"月薪42,000元以上",優安互連股份有限公司,全職,新北市林口區仁愛路二段502號13樓
129,【DQE】Python後端工程師 ,11/13,"年薪1,000,000元以上",鴻海精密工業股份有限公司,全職,新北市土城區自由街2號
130,東海大學人工智慧中心誠徵AI工程師 ,09/26,"月薪40,000~68,000元",東海大學,全職,台中市西屯區台灣大道四段1727號(東海大學)人工智慧中心
131,【開發部】Python爬蟲開發工程師 ,11/17,"年薪600,000~800,000元",唄粉智能科技股份有限公司,全職,台北市內湖區瑞光路335號
132,AI機器學習實習生 ,11/13,時薪200~350元,慧思科研股份有限公司,兼職 - 長期工讀、寒假工讀、暑假工讀,新竹市東區關東路145號
133,7. Python後端開發工程師 (上市公司) ,11/13,待遇面議,易勝資訊股份有限公司,全職,台北市內湖區
134,【研發處】AI對話機器人研發工程師【可提供視訊面談方式】 ,11/16,待遇面議,英特內軟體股份有限公司,全職,新北市中和區
135,I186 Python全端工程師(可遠端工作) ,11/17,待遇面議,台灣大哥大股份有限公司,全職,台北市大安區
136,Python程式分析講師-桃園分校 ,11/15,"時薪300~1,200元",聯成電腦有限公司(聯成電腦/聯成外語),兼職,桃園市桃園區大同路11號4樓
137,L-Python後端工程師（Django） ,11/15,待遇面議,緯創軟體股份有限公司,全職,台北市中山區(大台北地區)
138,Mfg-ing Test Solution軟體程式系統開發工程師_新竹_00874 ,11/16,待遇面議,緯創資通股份有限公司,全職,新竹市新安路五號
