,職稱,更新日期,薪資待遇,公司名稱,工作性質,縣市,區,地址
0,[系統專案] 高級/資深軟體開發工程師 (Programmer),09/18更新,待遇面議,人工智能股份有限公司,全職,台北市,南港區,重陽路273號9樓【鄰近南港捷運站】
1,Java 後端工程師,09/06更新,"年薪700,000~1,800,000元",綠色遊戲有限公司,全職,台北市,中山區,南京東路1段34號7樓
2,Java 後端工程師,09/05更新,待遇面議,不晚科技有限公司,全職,台北市,內湖區,瑞光路
3,Java後端工程師,09/16更新,"月薪55,000元以上",莫比機器人股份有限公司,全職,台北市,大安區,敦化南路2段76號5樓
4,Java後端工程師,09/13更新,待遇面議,享頑科技有限公司,全職,台北市,信義區,松隆路
5,JAVA 後端工程師,09/12更新,"月薪40,000~70,000元",蜘蛛網路股份有限公司,全職,台北市,大同區,甘州街
6,JAVA後端工程師 (不同專案),09/11更新,"月薪75,000~100,000元",益晨資訊科技有限公司,全職,台北市,中正區,忠孝東路一段55號8樓
7,Java後端工程師,09/11更新,待遇面議,特力集團_特力股份有限公司,全職,台北市,內湖區,新湖三路23號6F
8,Java後端工程師,09/12更新,待遇面議,口袋證券股份有限公司,全職,新北市,板橋區,三民路一段216號9樓
9,JAVA後端軟體工程師(台中),09/18更新,"月薪55,000元以上",凱發科技股份有限公司,全職,台中市,南屯區,公益路二段61號14樓之2
10,Java後端工程師(初階),09/10更新,"月薪40,000~55,000元",歐吉科技有限公司,全職,新北市,新莊區,新北大道三段37號15樓
11,Java 後端工程師 Java Backend Developer,09/12更新,"月薪50,000~80,000元",思量科技有限公司,全職,台北市,中正區,忠孝東路二段26號2樓
12,Java 後端工程師,09/18更新,待遇面議,聯經數位股份有限公司,全職,新北市,汐止區,大同路一段369號3樓
13,資深JAVA後端工程師,09/12更新,"月薪60,000~100,000元",澤加科技有限公司,全職,台北市,中山區,南京東路二段111號6樓
14,【台北分公司】Java後端工程師(擴編),09/18更新,待遇面議,風采有限公司,全職,新北市,板橋區,文化路一段
15,R1- Java 後端工程師,09/18更新,待遇面議,Finger Game_芬格國際股份有限公司,全職,台北市,大安區,敦化南路二段105號B棟26樓
16,Java 後端工程師,09/06更新,待遇面議,翱騰國際科技股份有限公司,全職,台北市,內湖區,新湖二路146巷19號
17,Java後端工程師(擴編),09/18更新,"月薪40,000~65,000元",風采有限公司,全職,台中市,西屯區,惠中路一段
18,Web Application 全端工程師 (技術副理/技術主任/資深工程師)_台南_02655,09/18更新,待遇面議,緯創資通股份有限公司,全職,台南市,歸仁區,歸仁十三路一段160號4樓
19,軟體開發主管（Team Leader）,09/12更新,待遇面議,皇丞創新科技股份有限公司,全職,新北市,新店區,寶橋路188號12樓
20,全端工程師,09/16更新,待遇面議,光盾資訊科技有限公司,全職,新北市,新店區,北新路1段86號19樓之3
21,網頁前端開發工程師-視訊面試,09/18更新,"月薪40,000~65,000元",尊博科技股份有限公司,全職,台中市,西屯區,工業38路210號6樓之3
22,Notes AP 開發工程師,09/03更新,"月薪30,000~45,000元",崇太科技實業有限公司,全職,台北市,大同區,長安西路180號10樓之1
23,後端-軟體工程師,08/27更新,待遇面議,錢隆科技股份有限公司,全職,新北市,汐止區,新台五路一段99號20樓之5
24,後端工程師,09/16更新,待遇面議,雲策數據有限公司,全職,台北市,內湖區,陽光街300號9樓
25,Java全端工程師-F22R,09/13更新,待遇面議,精誠資訊股份有限公司,全職,台北市,大安區,捷運東門站附近
26,5L新光人壽-軟體設計師(有相關經驗、證照者從優核敘),09/13更新,待遇面議,新光金融控股股份有限公司(新光金控/新光人壽/新光銀行/新光投信),全職,台北市,松山區,南京東路五段125號
27,Java軟體開發程式設計,09/11更新,"月薪45,000元以上",基嘉科技股份有限公司,全職,新北市,三重區,重新路四段89號3樓
28,【SRE】Site Reliability Engineer / 網站可靠性工程師,09/12更新,"月薪40,000~65,000元",中華資安國際股份有限公司,全職,台北市,中正區,杭州南路一段26號8樓
29,中階後端工程師,09/04更新,"年薪980,000元以上",光建系統有限公司,全職,台北市,松山區,民生東路3段128號12樓
30,後端工程師 具備 ISO 27001 尤佳,09/16更新,"月薪35,000~70,000元",揚立科技有限公司,全職,台中市,西屯區,台灣大道三段660號15樓之1
31,技術主管,09/18更新,"年薪1,000,000~1,300,000元",雷技資訊科技有限公司,全職,台北市,南港區,三重路19之13號5樓515室
32,系統工讀生(企業實習),09/16更新,"月薪27,470~30,000元",薩摩亞商安盛資訊股份有限公司台灣分公司,兼職 - 長期工讀,台北市,中山區,中山北路二段46號6樓之1
33,【RD】軟體後端工程師 (Backend Developer),09/12更新,待遇面議,濰視眼科診所,全職,新北市,中和區,中和路366號12樓(捷運站永安市場站旁)
34,全端/後端工程師 Full-stack/Back-end Engineer (Ruby on Rails),09/18更新,"月薪60,000~120,000元",澤加科技有限公司,全職,台北市,中山區,南京東路二段111號6樓
35,mis工程師,09/16更新,待遇面議,元璋玻璃股份有限公司,全職,基隆市,安樂區,武訓街12號
36,AI軟體設計工程師,09/16更新,待遇面議,格新智能股份有限公司,全職,台北市,信義區,信義路五段5號4F18
37,Senior Android Developer（台中）,09/18更新,待遇面議,時刻科技股份有限公司,全職,台中市,西區,灣大道二段218號28樓
38,JAVA程式設計師,09/11更新,待遇面議,特力集團_特力股份有限公司,全職,台北市,內湖區,新湖三路23號
39,前端工程師,09/16更新,"月薪55,000~65,000元",拉菲爾股份有限公司,全職,台北市,中正區,館前路65號11樓
40,飯店/餐飲管理系統開發主管,09/18更新,"年薪1,000,000~1,500,000元",德安資訊股份有限公司,全職,台北市,中山區,林森北路372號2樓
41,資深 Java Backend 開發工程師,09/16更新,待遇面議,天旭國際科技有限公司,全職,台北市,信義區,信義路五段7號15樓B室 (台北101)
42,Analyst Programmer (Java Full Stack),09/18更新,待遇面議,科熱臺灣有限公司,全職,台北市,中山區,復興北路150號11樓之8
43,Sr. Backend Engineer,09/09更新,"年薪850,000~1,200,000元",威摩科技股份有限公司,全職,台北市,松山區,南京東路三段303巷3弄8號2樓
44,視訊及VoIP研發工程師,09/18更新,待遇面議,樂倍達數位科技股份有限公司,全職,台北市,中山區,中山北路三段45號8樓
45,商務產品平台Full Stack全端工程師,09/18更新,待遇面議,喬睿科技股份有限公司,全職,台北市,中正區,羅斯福路二段100號6樓
46,【資訊科技】JAVA系統設計師(保單行政系統五科),09/18更新,待遇面議,富邦人壽保險股份有限公司(總公司),全職,台北市,內湖區,堤頂大道二段183號
47,桃園自動化設備工程師 丨Automation Equipment Engineer,09/12更新,待遇面議,永聯物流開發股份有限公司,全職,桃園市,楊梅區,環東路200號
48,後端工程師(高雄)-B90F,09/16更新,"月薪35,000元以上",台灣資服科技股份有限公司,全職,高雄市,前鎮區,成功二路25號3F-B
